event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end,bandwidth_used,wait_time
0,0,0,0,0,compute,mb0_s0_fwd,0,6.25e-05,0,0,compute,mb0_s0_fwd,0,6.25e-05,,
1,0,0,0,1,comm,activation,6.25e-05,6.25e-05,8388608,0,comm,activation,6.25e-05,6.25e-05,,
2,0,0,0,0,compute,mb1_s0_fwd,6.25e-05,0.000125,0,0,compute,mb1_s0_fwd,6.25e-05,0.000125,,
3,0,1,0,1,compute,mb0_s1_fwd,6.25e-05,0.000125,0,1,compute,mb0_s1_fwd,6.25e-05,0.000125,,
4,0,0,0,1,comm,activation,0.000125,0.000125,8388608,0,comm,activation,0.000125,0.000125,,
5,0,1,0,2,comm,activation,0.000125,0.000125,8388608,1,comm,activation,0.000125,0.000125,,
6,0,0,0,0,compute,mb2_s0_fwd,0.000125,0.0001875,0,0,compute,mb2_s0_fwd,0.000125,0.0001875,,
7,0,1,0,1,compute,mb1_s1_fwd,0.000125,0.0001875,0,1,compute,mb1_s1_fwd,0.000125,0.0001875,,
8,0,2,0,2,compute,mb0_s2_fwd,0.000125,0.0001875,0,2,compute,mb0_s2_fwd,0.000125,0.0001875,,
9,0,0,0,1,comm,activation,0.0001875,0.0001875,8388608,0,comm,activation,0.0001875,0.0001875,,
10,0,1,0,2,comm,activation,0.0001875,0.0001875,8388608,1,comm,activation,0.0001875,0.0001875,,
11,0,2,0,3,comm,activation,0.0001875,0.0001875,8388608,2,comm,activation,0.0001875,0.0001875,,
12,0,0,0,0,compute,mb3_s0_fwd,0.0001875,0.00025,0,0,compute,mb3_s0_fwd,0.0001875,0.00025,,
13,0,1,0,1,compute,mb2_s1_fwd,0.0001875,0.00025,0,1,compute,mb2_s1_fwd,0.0001875,0.00025,,
14,0,2,0,2,compute,mb1_s2_fwd,0.0001875,0.00025,0,2,compute,mb1_s2_fwd,0.0001875,0.00025,,
15,0,3,0,3,compute,mb0_s3_fwd,0.0001875,0.00025,0,3,compute,mb0_s3_fwd,0.0001875,0.00025,,
16,0,0,0,1,comm,activation,0.00025,0.00025,8388608,0,comm,activation,0.00025,0.00025,,
17,0,1,0,2,comm,activation,0.00025,0.00025,8388608,1,comm,activation,0.00025,0.00025,,
18,0,2,0,3,comm,activation,0.00025,0.00025,8388608,2,comm,activation,0.00025,0.00025,,
19,0,1,0,1,compute,mb3_s1_fwd,0.00025,0.0003125,0,1,compute,mb3_s1_fwd,0.00025,0.0003125,,
20,0,2,0,2,compute,mb2_s2_fwd,0.00025,0.0003125,0,2,compute,mb2_s2_fwd,0.00025,0.0003125,,
21,0,1,0,2,comm,activation,0.0003125,0.0003125,8388608,1,comm,activation,0.0003125,0.0003125,,
22,0,2,0,3,comm,activation,0.0003125,0.0003125,8388608,2,comm,activation,0.0003125,0.0003125,,
23,0,2,0,2,compute,mb3_s2_fwd,0.0003125,0.000375,0,2,compute,mb3_s2_fwd,0.0003125,0.000375,,
24,0,2,0,3,comm,activation,0.000375,0.000375,8388608,2,comm,activation,0.000375,0.000375,,
25,0,3,1,4,comm,activation,0.00025,0.0016061772799999998,8388608,3,comm,activation,0.00025,0.0016061772799999998,100.0,0.0
26,0,3,0,3,compute,mb1_s3_fwd,0.0016061772799999998,0.0016686772799999999,0,3,compute,mb1_s3_fwd,0.0016061772799999998,0.0016686772799999999,,
27,1,4,1,4,compute,mb0_s4_fwd,0.0016061772799999998,0.0016686772799999999,0,4,compute,mb0_s4_fwd,0.0016061772799999998,0.0016686772799999999,,
28,1,4,1,5,comm,activation,0.0016686772799999999,0.0016686772799999999,8388608,4,comm,activation,0.0016686772799999999,0.0016686772799999999,,
29,1,5,1,5,compute,mb0_s5_fwd,0.0016686772799999999,0.00173117728,0,5,compute,mb0_s5_fwd,0.0016686772799999999,0.00173117728,,
30,1,5,1,6,comm,activation,0.00173117728,0.00173117728,8388608,5,comm,activation,0.00173117728,0.00173117728,,
31,1,6,1,6,compute,mb0_s6_fwd,0.00173117728,0.00179367728,0,6,compute,mb0_s6_fwd,0.00173117728,0.00179367728,,
32,1,6,1,7,comm,activation,0.00179367728,0.00179367728,8388608,6,comm,activation,0.00179367728,0.00179367728,,
33,1,7,1,7,compute,mb0_s7_fwd,0.00179367728,0.00185617728,0,7,compute,mb0_s7_fwd,0.00179367728,0.00185617728,,
